time,v00,v010,v011,v012,v020,v021,v022,total
2006-05-28,4,288,263,4,0,0,0,560
2006-05-29,4,283,273,4,0,0,0,566
2006-05-30,4,280,284,4,0,0,0,573
2006-05-31,4,275,287,5,0,0,0,572
2006-06-01,4,279,307,5,0,0,0,596
2006-06-02,4,271,308,5,0,0,0,588
2006-06-03,4,261,317,5,0,0,0,588
2006-06-04,4,263,329,5,0,0,0,601
2006-06-05,4,261,341,7,0,0,0,614
2006-06-06,4,250,356,7,0,0,0,618
2006-06-07,4,240,355,5,0,0,0,605
2006-06-08,4,233,358,6,0,0,0,601
2006-06-09,4,220,368,6,0,0,0,598
2006-06-10,4,211,375,6,0,0,0,596
2006-06-11,4,208,380,6,0,0,0,599
2006-06-12,4,208,391,5,0,0,0,610
2006-06-13,4,205,403,4,0,0,0,616
2006-06-14,4,204,400,3,0,0,0,612
2006-06-15,4,198,402,7,0,0,0,612
2006-06-16,4,194,405,10,0,0,0,614
2006-06-17,4,191,403,10,0,0,0,609
2006-06-18,4,192,398,10,0,0,0,605
2006-06-19,4,193,411,10,0,0,0,619
2006-06-20,5,203,423,11,0,0,0,643
2006-06-21,5,198,437,13,0,0,0,654
2006-06-22,5,206,437,12,0,0,0,662
2006-06-23,6,198,441,11,0,0,0,657
2006-06-24,5,198,441,12,0,0,0,658
2006-06-25,5,192,432,10,0,0,0,641
2006-06-26,5,196,432,10,0,0,0,644
2006-06-27,5,194,426,9,0,0,0,636
2006-06-28,5,192,437,10,0,0,0,646
2006-06-29,5,187,463,11,0,0,0,667
2006-06-30,4,179,461,12,0,0,0,658
2006-07-01,4,184,463,12,0,0,0,664
2006-07-02,4,180,456,12,0,0,0,654
2006-07-03,4,185,459,13,0,0,0,662
2006-07-04,4,187,451,12,0,0,0,656
2006-07-05,4,186,465,11,0,0,0,667
2006-07-06,4,188,460,11,0,0,0,664
2006-07-07,4,179,449,10,0,0,0,644
2006-07-08,4,179,462,9,0,0,0,655
2006-07-09,4,169,480,9,0,0,0,663
2006-07-10,4,175,477,9,0,0,0,666
2006-07-11,4,185,488,9,0,0,0,687
2006-07-12,4,188,489,9,0,0,0,690
2006-07-13,4,188,501,9,0,0,0,702
2006-07-14,4,187,509,9,0,0,0,710
2006-07-15,4,183,515,9,0,0,0,712
2006-07-16,4,183,507,9,0,0,0,704
2006-07-17,4,175,498,10,0,0,0,688
2006-07-18,4,165,490,11,0,0,0,671
2006-07-19,4,163,509,10,0,0,0,687
2006-07-20,4,161,518,9,0,0,0,693
2006-07-21,4,155,502,9,0,0,0,671
2006-07-22,4,154,491,8,0,0,0,658
2006-07-23,4,158,492,9,0,0,0,664
2006-07-24,3,163,511,9,0,0,0,688
2006-07-25,3,160,515,9,0,0,0,689
2006-07-26,3,157,524,9,0,0,0,694
2006-07-27,3,156,528,8,0,0,0,696
2006-07-28,3,152,520,8,0,0,0,685
2006-07-29,3,158,515,8,0,0,0,685
2006-07-30,3,162,521,8,0,0,0,695
2006-07-31,3,173,527,9,0,0,0,714
2006-08-01,4,166,539,10,0,0,0,720
2006-08-02,3,163,538,10,0,0,0,715
2006-08-03,3,164,545,10,0,0,0,723
2006-08-04,3,137,562,10,0,0,0,714
2006-08-05,3,127,564,10,0,0,0,705
2006-08-06,3,125,573,10,0,0,0,712
2006-08-07,3,126,571,10,0,0,0,710
2006-08-08,3,125,574,9,0,0,0,712
2006-08-09,3,126,596,9,0,0,0,734
2006-08-10,3,121,591,9,0,0,0,725
2006-08-11,3,117,600,9,0,0,0,730
2006-08-12,3,108,595,9,0,0,0,715
2006-08-13,3,106,600,10,0,0,0,719
2006-08-14,3,108,599,10,0,0,0,721
2006-08-15,3,118,617,10,0,0,0,748
2006-08-16,3,117,641,9,0,0,0,771
2006-08-17,3,112,653,10,0,0,0,779
2006-08-18,3,102,647,9,0,0,0,762
2006-08-19,3,104,650,10,0,0,0,768
2006-08-20,3,105,656,9,0,0,0,774
2006-08-21,2,102,662,9,0,0,0,776
2006-08-22,2,100,673,9,0,0,0,786
2006-08-23,2,98,678,9,0,0,0,789
2006-08-24,3,96,692,10,0,0,0,802
2006-08-25,3,95,694,8,0,0,0,802
2006-08-26,3,95,708,8,0,0,0,815
2006-08-27,3,95,698,8,0,0,0,805
2006-08-28,3,96,705,8,0,0,0,813
2006-08-29,3,95,719,11,0,0,0,829
2006-08-30,2,93,702,16,0,0,0,815
2006-08-31,2,92,719,17,0,0,0,831
2006-09-01,2,71,707,19,0,0,0,801
2006-09-02,2,62,694,20,0,0,0,779
2006-09-03,2,66,688,21,0,0,0,778
2006-09-04,2,66,698,21,0,0,0,789
2006-09-05,2,66,699,22,0,0,0,789
2006-09-06,2,63,698,20,0,0,0,784
2006-09-07,2,61,694,20,0,0,0,778
2006-09-08,2,60,701,19,0,0,0,783
2006-09-09,2,57,681,19,0,0,0,760
2006-09-10,2,59,671,21,0,0,0,754
2006-09-11,2,59,685,20,0,0,0,767
2006-09-12,2,56,696,23,0,0,0,778
2006-09-13,2,54,704,24,0,0,0,786
2006-09-14,2,58,717,28,0,0,0,805
2006-09-15,2,56,718,30,0,0,0,807
2006-09-16,2,54,699,31,0,0,0,787
2006-09-17,2,55,697,31,0,0,0,786
2006-09-18,2,55,695,30,0,0,0,782
2006-09-19,2,52,704,31,0,0,0,789
2006-09-20,2,49,708,29,0,0,0,790
2006-09-21,2,51,706,29,0,0,0,789
2006-09-22,2,48,710,27,0,0,0,789
2006-09-23,2,48,717,29,0,0,0,797
2006-09-24,2,45,739,30,0,0,0,817
2006-09-25,2,43,730,28,0,0,0,804
2006-09-26,2,44,739,26,0,0,0,812
2006-09-27,2,44,747,28,0,0,0,822
2006-09-28,2,46,751,27,0,0,0,826
2006-09-29,2,45,751,27,0,0,0,825
2006-09-30,2,46,751,25,0,0,0,825
2006-10-01,2,46,766,26,0,0,0,842
2006-10-02,2,50,760,26,0,0,0,839
2006-10-03,2,50,768,23,0,0,0,845
2006-10-04,2,49,760,24,0,0,0,836
2006-10-05,2,48,750,25,0,0,0,825
2006-10-06,2,49,755,25,0,0,0,832
2006-10-07,2,48,762,31,0,0,0,844
2006-10-08,2,48,768,27,0,0,0,845
2006-10-09,2,44,767,29,0,0,0,844
2006-10-10,2,45,771,32,0,0,0,850
2006-10-11,2,44,767,31,0,0,0,846
2006-10-12,2,43,762,30,0,0,0,839
2006-10-13,3,43,754,33,0,0,0,833
2006-10-14,3,42,744,38,0,0,0,828
2006-10-15,3,44,752,41,0,0,0,840
2006-10-16,3,46,753,40,0,0,0,843
2006-10-17,3,44,734,38,0,0,0,820
2006-10-18,3,47,731,42,0,0,0,824
2006-10-19,3,42,724,39,0,0,0,809
2006-10-20,3,40,730,40,0,0,0,813
2006-10-21,3,40,735,39,0,0,0,818
2006-10-22,3,39,711,41,0,0,0,796
2006-10-23,3,37,728,39,0,0,0,808
2006-10-24,3,38,734,38,0,0,0,814
2006-10-25,3,37,716,40,0,0,0,797
2006-10-26,3,36,683,38,0,0,0,761
2006-10-27,3,34,688,41,0,0,0,768
2006-10-28,3,33,694,39,0,0,0,770
2006-10-29,2,32,702,40,0,0,0,778
2006-10-30,3,33,692,38,0,0,0,766
2006-10-31,3,33,681,41,0,0,0,759
2006-11-01,3,31,707,41,0,0,0,784
2006-11-02,3,29,702,40,0,0,0,776
2006-11-03,3,28,703,44,0,0,0,779
2006-11-04,3,27,709,43,0,0,0,783
2006-11-05,3,25,708,45,0,0,0,782
2006-11-06,3,24,717,48,0,0,0,793
2006-11-07,2,26,713,47,0,0,0,789
2006-11-08,2,26,721,48,0,0,0,798
2006-11-09,2,26,723,47,0,0,0,800
2006-11-10,2,25,713,46,0,0,0,787
2006-11-11,2,23,716,44,0,0,0,786
2006-11-12,2,23,725,44,0,0,0,795
2006-11-13,2,25,718,41,0,0,0,787
2006-11-14,2,26,711,44,0,0,0,783
2006-11-15,2,27,706,51,0,0,0,786
2006-11-16,2,27,677,47,0,0,0,753
2006-11-17,1,27,676,43,0,0,0,749
2006-11-18,3,27,670,44,0,0,0,746
2006-11-19,3,28,668,45,0,0,0,744
2006-11-20,2,26,665,43,0,0,0,738
2006-11-21,3,26,667,45,0,0,0,742
2006-11-22,3,26,672,42,0,0,0,744
2006-11-23,3,26,677,46,0,0,0,752
2006-11-24,3,25,675,44,0,0,0,749
2006-11-25,2,25,665,47,0,0,0,741
2006-11-26,2,25,667,50,0,0,0,745
2006-11-27,2,25,663,51,0,0,0,742
2006-11-28,2,26,676,50,0,0,0,755
2006-11-29,2,28,661,47,0,0,0,739
2006-11-30,2,27,640,51,0,0,0,722
2006-12-01,2,27,657,49,0,0,0,736
2006-12-02,2,27,684,50,0,0,0,764
2006-12-03,2,27,684,50,0,0,0,763
2006-12-04,2,26,697,51,0,0,0,777
2006-12-05,2,27,686,51,0,0,0,767
2006-12-06,2,25,659,50,0,0,0,738
2006-12-07,2,25,657,47,0,0,0,731
2006-12-08,2,24,658,48,0,0,0,733
2006-12-09,2,25,659,54,0,0,0,741
2006-12-10,2,25,669,56,0,0,0,753
2006-12-11,2,26,665,55,0,0,0,749
2006-12-12,2,27,659,57,0,0,0,745
2006-12-13,2,25,672,58,0,0,0,758
2006-12-14,2,24,659,59,0,0,0,745
2006-12-15,2,23,663,57,0,0,0,747
2006-12-16,2,22,659,62,0,0,0,745
2006-12-17,2,22,672,64,0,0,0,761
2006-12-18,2,23,679,61,0,0,0,766
2006-12-19,2,23,672,57,0,0,0,755
2006-12-20,2,22,676,62,0,0,0,762
2006-12-21,2,22,666,62,0,0,0,753
2006-12-22,2,22,661,64,0,0,0,750
2006-12-23,2,24,665,67,0,0,0,758
2006-12-24,2,25,648,65,0,0,0,741
2006-12-25,2,25,649,65,0,0,0,742
2006-12-26,2,24,659,67,0,0,0,753
2006-12-27,2,24,656,65,0,0,0,749
2006-12-28,2,24,672,69,0,0,0,769
2006-12-29,2,24,699,71,0,0,0,797
2006-12-30,2,25,695,69,0,0,0,792
2006-12-31,2,26,693,68,0,0,0,790
2007-01-01,1,25,684,67,0,0,0,779
2007-01-02,2,26,704,66,0,0,0,800
2007-01-03,2,25,709,66,0,0,0,802
2007-01-04,2,25,724,65,0,0,0,817
2007-01-05,2,26,724,68,0,0,0,820
2007-01-06,2,25,734,68,0,0,0,830
2007-01-07,2,23,745,70,0,0,0,841
2007-01-08,2,24,713,70,0,0,0,810
2007-01-09,2,24,718,68,0,0,0,814
2007-01-10,2,24,714,70,0,0,0,811
2007-01-11,2,25,746,71,0,0,0,845
2007-01-12,2,25,749,73,0,0,0,850
2007-01-13,2,23,738,73,0,0,0,837
2007-01-14,2,23,757,76,0,0,0,859
2007-01-15,2,26,750,81,0,0,0,860
2007-01-16,2,25,761,79,0,0,0,868
2007-01-17,2,26,776,84,0,0,0,889
2007-01-18,2,25,780,82,0,0,0,890
2007-01-19,2,24,780,78,0,0,0,885
2007-01-20,2,24,779,79,0,0,0,885
2007-01-21,2,25,781,79,0,0,0,888
2007-01-22,2,24,775,82,0,0,0,885
2007-01-23,2,23,771,84,0,0,0,881
2007-01-24,2,23,773,77,0,0,0,876
2007-01-25,2,24,758,81,0,0,0,866
2007-01-26,2,25,767,80,0,0,0,874
2007-01-27,2,24,761,73,0,0,0,862
2007-01-28,2,24,744,75,0,0,0,845
2007-01-29,2,24,737,87,0,0,0,851
2007-01-30,2,24,747,81,0,0,0,856
2007-01-31,1,25,751,77,0,0,0,855
2007-02-01,0,25,746,71,0,0,0,842
2007-02-02,0,24,741,81,0,0,0,847
2007-02-03,0,24,728,83,0,0,0,837
2007-02-04,1,26,742,88,0,0,0,857
2007-02-05,1,24,741,85,0,0,0,852
2007-02-06,0,24,714,87,0,0,0,827
2007-02-07,1,26,755,92,0,0,0,875
2007-02-08,1,26,746,90,0,0,0,863
2007-02-09,1,26,767,93,0,0,0,888
2007-02-10,1,24,788,100,0,0,0,913
2007-02-11,1,23,796,103,0,0,0,924
2007-02-12,1,24,792,105,0,0,0,923
2007-02-13,1,25,787,113,0,0,0,927
2007-02-14,1,25,794,120,0,0,0,941
2007-02-15,1,23,792,113,0,0,0,929
2007-02-16,1,23,803,112,0,0,0,940
2007-02-17,1,24,777,117,0,0,0,920
2007-02-18,1,23,775,123,0,0,0,923
2007-02-19,1,22,780,124,0,0,0,928
2007-02-20,1,22,783,121,0,0,0,928
2007-02-21,1,22,757,118,0,0,0,899
2007-02-22,1,21,763,114,0,0,0,900
2007-02-23,1,21,754,108,0,0,0,885
2007-02-24,0,21,749,105,0,0,0,875
2007-02-25,0,20,759,105,0,0,0,885
2007-02-26,0,19,763,106,0,0,0,890
2007-02-27,0,18,757,110,0,0,0,885
2007-02-28,0,18,761,109,0,0,0,888
2007-03-01,0,18,758,116,0,0,0,893
2007-03-02,0,19,753,111,0,0,0,884
2007-03-03,0,19,773,116,0,0,0,909
2007-03-04,0,19,785,126,0,0,0,931
2007-03-05,0,19,763,124,2,0,0,909
2007-03-06,0,18,760,115,7,0,0,900
2007-03-07,0,17,766,118,6,0,0,909
2007-03-08,0,19,740,116,6,0,0,882
2007-03-09,0,19,755,107,6,0,0,889
2007-03-10,0,18,760,108,7,0,0,895
2007-03-11,0,19,742,107,8,0,0,878
2007-03-12,0,18,723,107,11,0,0,862
2007-03-13,0,19,736,106,11,0,0,872
2007-03-14,0,18,753,112,11,0,0,896
2007-03-15,0,18,750,112,10,0,0,892
2007-03-16,0,17,751,109,11,0,0,890
2007-03-17,0,18,756,111,12,0,0,898
2007-03-18,0,18,755,118,13,0,0,905
2007-03-19,0,17,735,117,13,0,0,883
2007-03-20,0,17,746,114,14,0,0,892
2007-03-21,0,17,732,116,13,0,0,878
2007-03-22,0,16,721,118,14,0,0,871
2007-03-23,0,16,728,119,14,0,0,878
2007-03-24,0,15,725,119,16,0,0,875
2007-03-25,0,15,751,127,12,0,0,906
2007-03-26,0,14,742,130,14,0,0,901
2007-03-27,0,14,743,136,10,0,0,905
2007-03-28,0,14,732,129,9,0,0,886
2007-03-29,0,14,743,124,10,0,0,893
2007-03-30,0,18,738,122,10,0,0,889
2007-03-31,0,17,738,127,8,0,0,891
2007-04-01,0,17,728,129,7,0,0,882
2007-04-02,0,16,717,127,7,0,0,870
2007-04-03,0,17,727,133,7,0,0,885
2007-04-04,0,17,730,136,5,0,0,889
2007-04-05,0,16,737,144,10,0,0,908
2007-04-06,0,16,728,147,11,0,0,903
2007-04-07,0,15,738,146,11,0,0,911
2007-04-08,0,16,748,140,11,0,0,916
2007-04-09,0,16,747,144,11,0,0,920
2007-04-10,0,15,739,136,11,0,0,902
2007-04-11,0,16,743,137,15,0,0,913
2007-04-12,0,16,747,145,15,0,0,924
2007-04-13,0,15,741,140,15,0,0,912
2007-04-14,0,15,728,142,14,0,0,900
2007-04-15,0,15,736,147,14,0,0,913
2007-04-16,0,15,740,143,12,0,0,912
2007-04-17,0,16,739,146,11,0,0,912
2007-04-18,0,16,738,148,10,0,0,914
2007-04-19,0,16,754,153,12,0,0,936
2007-04-20,0,17,759,152,14,0,0,943
2007-04-21,0,18,767,163,13,0,0,962
2007-04-22,0,16,763,159,14,0,0,953
2007-04-23,0,14,752,156,12,0,0,935
2007-04-24,0,13,751,160,10,0,0,936
2007-04-25,0,13,726,181,12,0,0,934
2007-04-26,0,14,676,252,11,0,0,954
2007-04-27,0,13,635,276,13,0,0,938
2007-04-28,0,13,626,285,12,0,0,938
2007-04-29,0,15,620,312,13,0,0,962
2007-04-30,0,15,597,323,12,0,0,948
2007-05-01,0,15,576,337,13,0,0,942
2007-05-02,0,15,559,351,12,0,0,938
2007-05-03,0,15,531,354,12,0,0,913
2007-05-04,0,15,519,372,13,0,0,921
2007-05-05,0,13,507,379,14,0,0,915
2007-05-06,0,12,506,382,14,0,0,915
2007-05-07,0,11,512,399,14,0,0,939
2007-05-08,0,12,508,397,13,0,0,931
2007-05-09,0,12,514,396,15,0,0,938
2007-05-10,0,12,514,411,14,0,0,952
2007-05-11,0,12,504,419,14,0,0,951
2007-05-12,0,11,481,403,13,0,0,909
2007-05-13,0,12,505,420,15,0,0,953
2007-05-14,0,13,500,431,14,0,0,960
2007-05-15,0,14,491,443,14,0,0,964
2007-05-16,0,13,480,453,16,0,0,964
2007-05-17,0,13,480,445,17,0,0,956
2007-05-18,0,13,479,471,15,0,0,980
2007-05-19,0,13,467,475,14,0,0,971
2007-05-20,0,13,463,494,14,0,0,986
2007-05-21,0,14,453,497,12,0,0,977
2007-05-22,0,16,452,506,13,0,0,989
2007-05-23,0,16,444,507,13,0,0,983
2007-05-24,0,14,434,515,13,0,0,978
2007-05-25,0,13,429,502,11,0,0,957
2007-05-26,0,12,415,504,11,0,0,944
2007-05-27,0,12,416,509,12,0,0,950
2007-05-28,0,14,412,521,11,0,0,959
2007-05-29,0,13,398,537,15,0,0,964
2007-05-30,0,12,399,529,15,0,0,956
2007-05-31,0,12,395,532,13,0,0,954
2007-06-01,0,12,399,542,14,0,0,968
2007-06-02,0,12,390,551,17,0,0,972
2007-06-03,0,12,403,557,21,0,0,994
2007-06-04,0,11,398,549,28,0,0,988
2007-06-05,0,9,385,561,29,0,0,986
2007-06-06,0,9,374,558,33,0,0,976
2007-06-07,0,9,376,560,33,0,0,979
2007-06-08,0,9,370,551,32,0,0,962
2007-06-09,0,9,358,557,40,0,0,965
2007-06-10,0,9,348,557,41,0,0,956
2007-06-11,0,9,352,549,47,0,0,959
2007-06-12,0,8,349,555,48,0,0,962
2007-06-13,0,9,323,554,55,0,0,943
2007-06-14,0,9,338,556,57,0,0,961
2007-06-15,0,9,334,561,52,0,0,956
2007-06-16,0,9,342,611,62,0,0,1025
2007-06-17,0,9,339,556,61,0,0,966
2007-06-18,0,9,329,565,58,0,0,962
2007-06-19,0,8,323,587,56,0,0,976
2007-06-20,0,7,314,613,58,0,0,994
2007-06-21,0,8,305,599,56,0,0,969
2007-06-22,0,8,308,561,64,0,0,943
2007-06-23,0,8,314,566,70,0,0,958
2007-06-24,0,7,312,565,64,0,0,950
2007-06-25,0,8,305,588,62,0,0,964
2007-06-26,0,8,301,599,61,0,0,970
2007-06-27,0,7,303,644,62,0,0,1018
2007-06-28,0,7,299,630,62,0,0,999
2007-06-29,0,7,293,594,61,0,0,956
2007-06-30,0,7,293,589,72,0,0,962
2007-07-01,0,7,297,591,69,0,0,965
2007-07-02,0,7,282,571,65,0,0,926
2007-07-03,0,7,285,593,70,0,0,956
2007-07-04,0,6,284,593,67,0,0,952
2007-07-05,0,5,286,606,68,0,0,966
2007-07-06,0,6,279,610,70,0,0,967
2007-07-07,0,6,269,609,61,0,0,946
2007-07-08,0,7,267,614,68,0,0,958
2007-07-09,0,7,260,609,73,0,0,951
2007-07-10,0,6,262,606,73,0,0,949
2007-07-11,0,6,269,617,72,0,0,965
2007-07-12,0,5,265,611,72,0,0,955
2007-07-13,0,5,262,609,72,0,0,950
2007-07-14,0,6,251,610,81,0,0,950
2007-07-15,0,6,253,619,76,0,0,955
2007-07-16,0,6,249,610,77,0,0,944
2007-07-17,0,7,244,637,82,0,0,971
2007-07-18,0,7,240,653,86,0,0,987
2007-07-19,0,7,236,663,80,0,0,987
2007-07-20,0,8,239,655,82,0,0,985
2007-07-21,0,8,234,640,83,0,0,967
2007-07-22,0,8,242,652,81,0,0,984
2007-07-23,0,7,241,638,83,0,0,972
2007-07-24,0,7,244,636,89,0,0,977
2007-07-25,0,7,241,642,89,0,0,981
2007-07-26,0,9,229,638,84,0,0,961
2007-07-27,0,8,227,637,82,0,0,956
2007-07-28,0,7,222,640,81,0,0,951
2007-07-29,0,6,216,656,85,0,0,964
2007-07-30,0,7,224,650,81,0,0,964
2007-07-31,0,7,226,652,79,0,0,965
2007-08-01,0,7,228,665,91,0,0,993
2007-08-02,0,8,219,672,90,0,0,992
2007-08-03,0,8,215,680,85,0,0,989
2007-08-04,0,8,213,695,83,0,0,1001
2007-08-05,0,8,210,696,87,0,0,1002
2007-08-06,0,7,204,703,91,0,0,1006
2007-08-07,0,7,205,714,86,0,0,1014
2007-08-08,0,7,202,737,88,0,0,1036
2007-08-09,0,6,198,716,94,0,0,1015
2007-08-10,0,5,193,730,88,0,0,1018
2007-08-11,0,5,194,742,96,0,0,1037
2007-08-12,0,4,190,754,98,0,0,1048
2007-08-13,0,4,184,768,106,0,0,1063
2007-08-14,0,5,177,757,107,0,0,1047
2007-08-15,0,4,176,766,98,0,0,1046
2007-08-16,0,4,177,766,98,0,0,1046
2007-08-17,0,5,180,752,99,0,0,1038
2007-08-18,0,5,186,762,94,0,0,1049
2007-08-19,0,4,189,763,97,0,0,1054
2007-08-20,0,4,180,766,100,0,0,1051
2007-08-21,0,4,174,773,102,0,0,1055
2007-08-22,0,5,173,764,107,0,0,1050
2007-08-23,0,5,179,760,108,0,0,1053
2007-08-24,0,4,177,772,108,0,0,1063
2007-08-25,0,3,178,780,111,0,0,1074
2007-08-26,0,3,186,786,115,0,0,1092
2007-08-27,0,3,175,773,116,0,0,1068
2007-08-28,0,2,171,766,117,0,0,1058
2007-08-29,0,3,171,777,121,0,0,1074
2007-08-30,0,3,176,761,116,0,0,1057
2007-08-31,0,3,173,793,113,0,0,1083
2007-09-01,0,4,169,808,117,0,0,1099
2007-09-02,0,4,181,842,120,0,0,1148
2007-09-03,0,5,170,836,127,0,0,1139
2007-09-04,0,4,170,848,128,0,0,1151
2007-09-05,0,4,169,850,127,0,0,1150
2007-09-06,0,3,169,832,136,0,0,1142
2007-09-07,0,3,168,820,140,0,0,1132
2007-09-08,0,2,161,802,131,0,0,1098
2007-09-09,0,2,158,809,131,0,0,1101
2007-09-10,0,2,153,803,141,0,0,1099
2007-09-11,0,2,153,828,147,0,0,1132
2007-09-12,0,2,154,847,148,0,0,1152
2007-09-13,0,2,149,875,143,0,0,1170
2007-09-14,0,2,146,865,145,0,0,1158
2007-09-15,0,2,142,872,151,0,0,1168
2007-09-16,0,2,151,875,141,0,0,1170
2007-09-17,0,2,151,877,143,0,0,1174
2007-09-18,0,2,141,887,147,0,0,1177
2007-09-19,0,2,146,888,145,0,0,1183
2007-09-20,0,2,145,885,140,0,0,1173
2007-09-21,0,2,146,890,141,0,0,1181
2007-09-22,0,2,146,912,146,0,0,1207
2007-09-23,0,2,155,922,151,0,0,1231
2007-09-24,0,2,155,891,151,0,0,1200
2007-09-25,0,2,149,898,145,0,0,1194
2007-09-26,0,2,151,907,143,0,0,1203
2007-09-27,0,1,145,856,150,0,0,1154
2007-09-28,0,2,151,889,161,0,0,1204
2007-09-29,0,2,149,895,153,0,0,1200
2007-09-30,0,2,146,891,156,0,0,1196
2007-10-01,0,2,146,900,149,0,0,1198
2007-10-02,0,2,146,897,147,0,0,1193
2007-10-03,0,2,146,929,151,0,0,1229
